"Holcim Australia Pty Ltd"
"ABN:      87099732297                                                                                                                                                                  Page 1 of 12"
"Area:     81                                                                            GROSS CARTAGE INCOME STATEMENT                                                                 10.03.2023 12:36:54"
""
"Owner:       320941          PNR TRANSPORT PTY LTD"
"P.O.BOX 8017"
"TARNEIT"
"Payment Cut-Off Date:        02.02.2023"
"Payment for Truck:           20005882             TRK,QRY,1186,SYDN,PNR TRANSPORT PTY LTD"
""
""
"Date          Docket #     Load Qty       Paid Qty   Units   KM/Zone   Description               Amount (AUD)   Delivery Address                                                                 Adjustment Reason"
""
""
"06.01.2023    34499829     39.020         39.02      TO       211      Normal @ 25.22            984.08         INT TFR TO BROOKVALE NSW CONCRETE,18 William Street,BROOKVALE"
"09.01.2023    33684885     38.980         38.98      TO       105      Normal @ 18.71            729.32         DOWNER EDI WORKS ROSEHILL QUARRIES,CONTRACT ROSEHILL - 336,CONTRACT"
"09.01.2023    34826727     38.900         38.90      TO        13      Normal @ 11.36            441.90         INT TFR TO BLACKTOWN NSW CONCRETE,Lot 7 Tattersall Road,MARAYONG"
"10.01.2023    34400052     39.160         39.16      TO       164      Normal @ 21.93            858.78         INT TFR TO Alexandria (City) NSW Co,122 - 132 Euston Road,ALEXANDRIA"
"10.01.2023    34499977     38.940         38.94      TO       163      Normal @ 21.86            851.23         INT TFR TO LIDCOMBE NSW CONCRETE,42-44 Birnie Avenue,LIDCOMBE"
"10.01.2023    34826906     38.860         38.86      TO        29      Normal @ 12.48            484.97         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
"11.01.2023    34400170     38.460         38.46      TO       164      Normal @ 21.93            843.43         INT TFR TO Alexandria (City) NSW Co,122 - 132 Euston Road,ALEXANDRIA"
"11.01.2023    G-144676     38.560         38.56      TO       122      Normal @ 18.99            732.25         DOWNER EDI WORKS - MEDIUM SAND QUAR,CONTRACT MITTAGONG SAND - 340,ROSEHILL"
"12.01.2023    34400233     38.640         38.64      TO       121      Normal @ 18.92            731.07         INT TFR TO NARELLAN NSW CONCRETE,Lot 9 Graham Hill Road,NARELLAN"
"12.01.2023    34400282     39.040         39.04      TO       164      Normal @ 21.93            856.15         INT TFR TO Alexandria (City) NSW Co,122 - 132 Euston Road,ALEXANDRIA"
"13.01.2023    34400345     38.740         38.74      TO       175      Normal @ 22.70            879.40         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
"13.01.2023    34400395     38.800         38.80      TO       182      Normal @ 23.19            899.77         INT TFR TO ARTARMON NSW CONCRETE,5 Marden Street,ARTARMON"
"14.01.2023    1043107\1    39.320         39.32      TO        49      Normal @ 13.88            545.76         Rooty Hill Concrete NSW,21 Kellogg Rd,ROOTY HILL"
"14.01.2023    34827262     39.080         39.08      TO        29      Normal @ 12.48            487.72         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
"16.01.2023    33685441     38.900         38.90      TO       105      Normal @ 18.11            704.67         DOWNER EDI WORKS ROSEHILL QUARRIES,CONTRACT ROSEHILL - 336,CONTRACT"
"16.01.2023    34400459     38.720         38.72      TO       163      Normal @ 21.86            846.42         INT TFR TO LIDCOMBE NSW CONCRETE,42-44 Birnie Avenue,LIDCOMBE"
"16.01.2023    34400500     38.940         38.94      TO       163      Normal @ 21.86            851.23         INT TFR TO LIDCOMBE NSW CONCRETE,42-44 Birnie Avenue,LIDCOMBE"
"17.01.2023    33685453     38.800         38.80      TO       105      Normal @ 18.11            702.86         DOWNER EDI WORKS ROSEHILL QUARRIES,CONTRACT ROSEHILL - 336,CONTRACT"
"17.01.2023    34400578     39.020         39.02      TO       164      Normal @ 21.93            855.71         INT TFR TO Alexandria (City) NSW Co,122 - 132 Euston Road,ALEXANDRIA"
"17.01.2023    34400650     38.700         38.70      TO       163      Normal @ 22.35            864.91         INT TFR TO LIDCOMBE NSW CONCRETE,42-44 Birnie Avenue,LIDCOMBE"
"17.01.2023    34827445     38.760         38.76      TO        23      Normal @ 12.06            467.45         INT TFR TO CAMELLIA CONCRETE NSW,1 B GRAND AVENUE,ROSEHILL"
"17.01.2023    34827559     39.020         39.02      TO        29      Normal @ 12.57            490.36         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
"18.01.2023    33685670     38.540         38.54      TO       105      Normal @ 16.61            639.96         DOWNER EDI WORKS ROSEHILL QUARRIES,CONTRACT ROSEHILL - 336,CONTRACT"
"18.01.2023    33685675     38.440         38.44      TO       105      Normal @ 16.61            638.30         DOWNER EDI WORKS ROSEHILL QUARRIES,CONTRACT ROSEHILL - 336,CONTRACT"
"18.01.2023    34827574     39.080         39.08      TO        29      Normal @ 12.57            491.12         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
"18.01.2023    34827601     39.320         39.32      TO        57      Normal @ 14.61            574.50         INT TFR TO BROOKVALE NSW CONCRETE,18 William Street,BROOKVALE"
"19.01.2023    34827717     39.220         39.22      TO        29      Normal @ 12.57            492.88         Emu Plains NSW Conc Tolling,Lot 45 Kite Street,EMU PLAINS"
